id_zadania;id_uczestnika;id_jezyka;czas_zgloszenia;punktacja;status
7;36;1;27.11.2021 11:16;0;RE
8;54;9;27.11.2021 09:26;0;WA
6;49;2;27.11.2021 09:33;100;AC
3;42;1;27.11.2021 09:49;0;RE
6;39;2;27.11.2021 11:11;60;AC
3;34;1;27.11.2021 11:50;50;AC
7;47;1;27.11.2021 09:54;80;AC
1;82;10;27.11.2021 09:44;100;AC
9;95;1;27.11.2021 09:44;0;RE
2;63;10;27.11.2021 09:23;100;AC
10;44;6;27.11.2021 09:14;100;AC
10;44;1;27.11.2021 09:57;70;AC
6;44;7;27.11.2021 10:48;70;AC
8;89;6;27.11.2021 10:12;90;AC
4;90;1;27.11.2021 10:18;0;WA
1;17;2;27.11.2021 11:45;80;AC
8;27;7;27.11.2021 11:52;0;RE
5;35;1;27.11.2021 10:59;0;RE
1;26;1;27.11.2021 11:58;0;WA
8;88;3;27.11.2021 09:24;50;AC
5;64;1;27.11.2021 10:21;70;AC
7;94;4;27.11.2021 09:25;80;AC
3;21;2;27.11.2021 11:22;40;AC
10;77;1;27.11.2021 10:56;0;RE
8;45;1;27.11.2021 11:45;0;WA
5;19;1;27.11.2021 10:23;0;WA
8;25;1;27.11.2021 11:31;40;AC
6;2;1;27.11.2021 09:32;40;AC
6;4;1;27.11.2021 09:14;40;AC
6;31;4;27.11.2021 10:27;100;AC
1;55;10;27.11.2021 10:35;60;AC
4;77;1;27.11.2021 11:46;40;AC
8;24;2;27.11.2021 09:16;0;RE
7;90;4;27.11.2021 09:43;90;AC
6;44;9;27.11.2021 11:56;90;AC
6;13;9;27.11.2021 09:54;100;AC
10;77;1;27.11.2021 11:33;40;AC
6;33;8;27.11.2021 09:23;40;AC
6;16;8;27.11.2021 10:18;0;RE
8;8;6;27.11.2021 09:49;50;AC
3;99;4;27.11.2021 11:14;100;AC
2;26;1;27.11.2021 11:44;100;AC
9;16;1;27.11.2021 09:10;0;RE
2;2;5;27.11.2021 11:23;50;AC
9;51;1;27.11.2021 11:52;40;AC
10;88;1;27.11.2021 10:39;10;AC
7;49;1;27.11.2021 09:52;0;WA
7;91;9;27.11.2021 11:44;40;AC
9;51;3;27.11.2021 10:58;50;AC
8;77;3;27.11.2021 11:28;0;WA
10;22;7;27.11.2021 10:31;90;AC
6;24;1;27.11.2021 11:13;40;AC
2;60;1;27.11.2021 10:29;0;CE
9;68;7;27.11.2021 10:10;40;AC
7;84;1;27.11.2021 11:11;0;WA
5;89;1;27.11.2021 10:16;0;WA
7;3;1;27.11.2021 11:38;100;AC
4;57;1;27.11.2021 11:51;90;AC
5;45;2;27.11.2021 09:27;70;AC
3;59;1;27.11.2021 10:32;0;RE
3;86;5;27.11.2021 10:27;0;RE
6;32;3;27.11.2021 09:59;0;WA
10;76;6;27.11.2021 10:56;100;AC
4;57;1;27.11.2021 11:13;40;AC
7;82;1;27.11.2021 11:18;0;WA
5;8;2;27.11.2021 11:52;0;RE
1;10;1;27.11.2021 09:13;0;WA
9;77;1;27.11.2021 10:23;0;WA
5;2;9;27.11.2021 09:48;40;AC
10;25;1;27.11.2021 11:39;100;AC
9;83;3;27.11.2021 11:39;0;WA
6;61;2;27.11.2021 09:49;80;AC
4;68;1;27.11.2021 09:47;40;AC
1;12;1;27.11.2021 10:21;60;AC
10;44;1;27.11.2021 10:47;0;RE
7;24;1;27.11.2021 09:18;40;AC
8;90;2;27.11.2021 10:49;0;RE
4;21;3;27.11.2021 09:46;100;AC
3;17;5;27.11.2021 09:43;0;WA
4;56;1;27.11.2021 09:53;0;CE
8;83;5;27.11.2021 09:17;0;WA
3;94;1;27.11.2021 09:48;0;WA
5;62;5;27.11.2021 11:34;0;WA
5;15;1;27.11.2021 11:46;0;WA
1;72;2;27.11.2021 11:35;0;RE
4;7;4;27.11.2021 10:22;100;AC
8;4;6;27.11.2021 09:48;70;AC
4;29;8;27.11.2021 09:42;70;AC
2;51;2;27.11.2021 11:58;80;AC
3;24;1;27.11.2021 09:58;0;RE
7;21;1;27.11.2021 09:43;0;RE
4;31;4;27.11.2021 11:19;80;AC
2;96;1;27.11.2021 11:18;0;RE
1;96;2;27.11.2021 11:40;50;AC
3;30;4;27.11.2021 09:15;100;AC
1;66;5;27.11.2021 09:34;40;AC
6;29;2;27.11.2021 09:47;70;AC
10;63;1;27.11.2021 11:37;50;AC
8;58;4;27.11.2021 10:27;40;AC
9;59;2;27.11.2021 11:56;0;RE
3;12;8;27.11.2021 11:37;0;WA
2;47;2;27.11.2021 10:18;60;AC
3;79;1;27.11.2021 11:16;40;AC
2;30;4;27.11.2021 09:11;100;AC
7;52;2;27.11.2021 09:32;0;RE
8;28;1;27.11.2021 10:28;40;AC
10;44;9;27.11.2021 10:15;0;WA
8;32;7;27.11.2021 09:32;0;RE
5;40;2;27.11.2021 09:43;50;AC
7;92;4;27.11.2021 09:56;0;WA
7;38;4;27.11.2021 09:10;0;WA
5;2;9;27.11.2021 09:24;0;WA
4;92;8;27.11.2021 11:57;40;AC
4;1;2;27.11.2021 09:25;0;RE
8;28;1;27.11.2021 10:34;0;RE
10;90;1;27.11.2021 09:21;0;WA
7;33;9;27.11.2021 11:45;0;RE
3;22;1;27.11.2021 11:45;0;WA
10;39;6;27.11.2021 10:25;0;WA
7;21;5;27.11.2021 09:57;40;AC
10;95;9;27.11.2021 10:31;0;WA
3;27;2;27.11.2021 10:38;60;AC
6;75;1;27.11.2021 11:56;0;WA
4;4;1;27.11.2021 09:35;40;AC
8;29;2;27.11.2021 11:35;50;AC
5;34;3;27.11.2021 09:18;0;WA
5;77;2;27.11.2021 10:37;50;AC
9;61;1;27.11.2021 09:21;40;AC
2;11;1;27.11.2021 10:38;40;AC
8;65;2;27.11.2021 11:13;90;AC
9;49;2;27.11.2021 10:26;40;AC
8;67;2;27.11.2021 09:44;0;WA
4;99;2;27.11.2021 11:33;100;AC
1;59;10;27.11.2021 09:17;50;AC
10;4;2;27.11.2021 09:24;100;AC
6;55;1;27.11.2021 10:50;0;RE
4;35;1;27.11.2021 11:54;0;RE
1;95;1;27.11.2021 11:23;0;WA
2;54;10;27.11.2021 09:49;50;AC
1;55;1;27.11.2021 10:43;0;WA
2;20;6;27.11.2021 09:18;50;AC
7;76;5;27.11.2021 11:20;100;AC
6;42;9;27.11.2021 09:38;0;WA
4;19;1;27.11.2021 11:16;60;AC
10;24;1;27.11.2021 11:21;100;AC
2;11;2;27.11.2021 11:50;0;RE
1;73;1;27.11.2021 10:50;40;AC
