id pods¹dnego;  id czynu;  id sêdziego II inst;  data rozp II instancji;  data wyroku II nst;  wyrok II inst
1021; 1; 7;  21.11.2025;  23.11.2025; 0
1033; 1; 8;  09.04.2025;  10.04.2025; 23
1048; 3; 9;  14.03.2025;  17.03.2025; 16
1059; 1; 10;  23.04.2025;  24.04.2025; 20
1072; 1; 7;  01.05.2025;  02.05.2025; 21
1074; 1; 8;  30.04.2025;  01.05.2025; 19
1083; 1; 9;  02.05.2025;  03.05.2025; 15
1091; 1; 7;  06.05.2025;  07.05.2025; 20
1096; 2; 8;  24.01.2025;  25.01.2025; 5
1106; 1; 7;  13.05.2025;  14.05.2025; 25
1107; 3; 7;  22.03.2025;  24.03.2025; 17
1110; 3; 8;  24.03.2025;  26.03.2025; 15
1111; 3; 9;  28.03.2025;  31.03.2025; 20
1122; 4; 7;  04.08.2025;  06.08.2025; 5
1125; 4; 8;  13.08.2025;  16.08.2025; 5
1129; 2; 9;  25.01.2025;  26.01.2025; 5
1136; 6; 9;  19.07.2025;  20.07.2025; 12
1144; 4; 10;  17.08.2025;  18.08.2025; 4
1147; 2; 10;  27.01.2025;  28.01.2025; 6
1149; 1; 8;  18.05.2025;  19.05.2025; 20
1156; 4; 8;  18.08.2025;  19.08.2025; 3
1160; 2; 7;  31.01.2025;  01.02.2025; 9
1162; 4; 8;  23.08.2025;  26.08.2025; 3
1166; 2; 8;  30.01.2025;  31.01.2025; 9
1172; 1; 8;  23.05.2025;  24.05.2025; 0
1173; 3; 10;  28.03.2025;  29.03.2025; 21
1187; 6; 9;  18.07.2025;  21.07.2025; 12
1194; 2; 10;  13.02.2025;  15.02.2025; 6
1195; 6; 8;  16.07.2025;  18.07.2025; 12
1201; 3; 10;  07.04.2025;  10.04.2025; 22
1208; 7; 7;  13.10.2025;  15.10.2025; 5
1212; 8; 9;  19.11.2025;  21.11.2025; 12
1214; 4; 10;  28.08.2025;  31.08.2025; 4
1216; 3; 7;  03.04.2025;  05.04.2025; 18
1217; 6; 7;  18.07.2025;  20.07.2025; 11
1224; 2; 7;  20.02.2025;  22.02.2025; 6
1234; 3; 7;  04.04.2025;  05.04.2025; 20
1237; 5; 10;  18.05.2025;  21.05.2025; 1
1240; 3; 7;  13.04.2025;  14.04.2025; 20
1246; 3; 8;  04.04.2025;  06.04.2025; 20
1248; 2; 8;  21.02.2025;  22.02.2025; 7
1249; 3; 8;  13.04.2025;  15.04.2025; 22
1251; 4; 7;  30.08.2025;  01.09.2025; 5
1252; 4; 9;  30.08.2025;  02.09.2025; 4
1254; 6; 7;  14.07.2025;  15.07.2025; 11
1256; 3; 8;  14.04.2025;  21.04.2025; 14
1259; 2; 9;  19.02.2025;  21.02.2025; 6
1261; 1; 10; 14.06.2025;  26.06.2025; 8
1265; 3; 9;  17.04.2025;  18.04.2025; 22
1277; 7; 8;  16.10.2025;  18.10.2025; 5
1278; 6; 8;  24.07.2025;  27.07.2025; 13
1286; 2; 7;  28.02.2025;  02.03.2025; 7
1287; 2; 7;  08.03.2025;  11.03.2025; 5
1290; 2; 8;  03.03.2025;  05.03.2025; 5
1301; 4; 9;  30.08.2025;  31.08.2025; 3
1310; 6; 10;  19.07.2025;  21.07.2025; 11
1312; 2; 8;  05.03.2025;  08.03.2025; 9
1317; 4; 10;  02.09.2025;  04.09.2025; 4
1318; 5; 8;  29.05.2025;  31.05.2025; 3
1319; 2; 9;  18.03.2025;  20.03.2025; 9
1320; 6; 10;  31.07.2025;  02.08.2025; 12
1325; 7; 9;  19.10.2025;  21.10.2025; 7
1335; 1; 9;  30.06.2025;  01.07.2025; 16
1341; 2; 9;  17.03.2025;  18.03.2025; 8
1347; 6; 10;  31.07.2025;  01.08.2025; 11
1349; 2; 10;  27.03.2025;  30.03.2025; 7
1352; 2; 10;  27.03.2025;  28.03.2025; 10
1358; 5; 8;  28.05.2025;  29.05.2025; 3
1360; 7; 10;  29.10.2025;  01.11.2025; 10
1385; 4; 9;  28.09.2025;  29.09.2025; 3
1386; 5; 9;  07.06.2025;  08.06.2025; 3
1401; 6; 9;  28.07.2025;  29.07.2025; 14
1405; 5; 9;  09.06.2025;  10.06.2025; 3
1412; 6; 9;  08.08.2025;  10.08.2025; 12
1427; 5; 10;  08.06.2025;  09.06.2025; 2
1434; 5; 10;  12.06.2025;  13.06.2025; 2
1435; 5; 10;  12.06.2025;  13.06.2025; 2
1468; 5; 7;  17.06.2025;  18.06.2025; 2
1550; 5; 7;  24.06.2025;  25.06.2025; 2
1555; 5; 7;  19.06.2025;  21.06.2025; 1
