Godzina sprzedaży; Nazwa artykułu; Wartość netto; Stawka podatku VAT w %; Typ artykułu; Wartość sprzedaży narastająco
8:09;artykuł42;52,81;23;odzież;52,81
8:09;artykuł36;46,81;23;odzież;99,62
8:09;artykuł171;12,78;23;kosmetyki;112,4
8:09;artykuł461;7,95;23;kosmetyki;120,35
8:09;artykuł602;-0,73;23;kosmetyki;119,62
8:09;artykuł103;18,45;23;spożywcze;138,07
8:09;artykuł103;18,45;23;spożywcze;156,52
8:09;artykuł46;1,69;5;spożywcze;158,21
8:09;artykuł56;5,89;23;spożywcze;164,1
8:09;artykuł62;8,41;23;spożywcze;172,51
8:09;artykuł64;9,25;23;spożywcze;181,76
8:09;artykuł30;15,68;5;dziecięce;197,44
8:09;artykuł31;54,71;5;dziecięce;252,15
8:09;artykuł21;240;5;obuwie;492,15
8:09;artykuł24;52,72;23;obuwie;544,87
8:09;artykuł26;36,82;23;obuwie;581,69
8:09;artykuł27;83,36;23;obuwie;665,05
8:09;artykuł28;63,9;23;obuwie;728,95
8:09;artykuł463;23,75;23;obuwie;752,7
8:09;artykuł157;295,61;23;obuwie;1048,31
8:09;artykuł463;23,75;23;obuwie;1072,06
8:09;artykuł138;36,83;23;obuwie;1108,89
8:09;artykuł2;35,14;23;agd;1144,03
8:09;artykuł464;34,84;23;agd;1178,87
8:09;artykuł139;239;23;agd;1417,87
8:09;artykuł164;1294,73;23;agd;2712,6
8:09;artykuł72;22,22;8;leki;2734,82
8:09;artykuł77;46,71;8;leki;2781,53
8:09;artykuł77;46,71;8;leki;2828,24
8:09;artykuł465;11,62;5;prasa;2839,86
8:09;artykuł184;6,49;8;prasa;2846,35
8:09;artykuł556;9,45;8;prasa;2855,8
8:09;artykuł117;17,17;8;prasa;2872,97
8:09;artykuł113;49,2;8;prasa;2922,17
8:09;artykuł466;24,85;8;prasa;2947,02
8:24;artykuł44;54,81;23;odzież;3001,83
8:24;artykuł116;2,48;23;kosmetyki;3004,31
8:24;artykuł510;4,82;23;kosmetyki;3009,13
8:24;artykuł558;27,53;23;kosmetyki;3036,66
8:24;artykuł81;7,93;23;kosmetyki;3044,59
8:24;artykuł83;9,93;23;kosmetyki;3054,52
8:24;artykuł102;12,89;5;spożywcze;3067,41
8:24;artykuł102;12,89;5;spożywcze;3080,3
8:24;artykuł103;18,45;23;spożywcze;3098,75
8:24;artykuł49;2,95;23;spożywcze;3101,7
8:24;artykuł49;2,95;23;spożywcze;3104,65
8:24;artykuł55;5,47;23;spożywcze;3110,12
8:24;artykuł60;7,57;23;spożywcze;3117,69
8:24;artykuł61;7,99;23;spożywcze;3125,68
8:24;artykuł63;8,83;23;spożywcze;3134,51
8:24;artykuł64;9,25;23;spożywcze;3143,76
8:24;artykuł32;69,35;5;dziecięce;3213,11
8:24;artykuł24;52,72;23;obuwie;3265,83
8:24;artykuł27;83,36;23;obuwie;3349,19
8:24;artykuł157;295,61;23;obuwie;3644,8
8:24;artykuł182;147,81;23;obuwie;3792,61
8:24;artykuł1;135,78;23;agd;3928,39
8:24;artykuł252;59,62;23;agd;3988,01
8:24;artykuł111;5,45;5;prasa;3993,46
8:24;artykuł156;4,39;5;prasa;3997,85
8:24;artykuł165;0,78;8;prasa;3998,63
8:24;artykuł192;9,11;8;prasa;4007,74
8:24;artykuł514;6,71;8;prasa;4014,45
8:24;artykuł117;17,17;8;prasa;4031,62
8:24;artykuł174;14,63;8;prasa;4046,25
8:38;artykuł87;124;23;odzież;4170,25
8:38;artykuł87;124;23;odzież;4294,25
8:38;artykuł162;23,45;23;kosmetyki;4317,7
8:38;artykuł186;6,82;23;kosmetyki;4324,52
8:38;artykuł83;9,93;23;kosmetyki;4334,45
8:38;artykuł103;18,45;23;spożywcze;4352,9
8:38;artykuł103;18,45;23;spożywcze;4371,35
8:38;artykuł103;-18,45;23;spożywcze;4352,9
8:38;artykuł46;1,69;5;spożywcze;4354,59
8:38;artykuł46;1,69;5;spożywcze;4356,28
8:38;artykuł50;3,37;5;spożywcze;4359,65
8:38;artykuł53;4,63;23;spożywcze;4364,28
8:38;artykuł55;5,47;23;spożywcze;4369,75
8:38;artykuł57;-6,31;23;spożywcze;4363,44
8:38;artykuł57;-6,31;23;spożywcze;4357,13
8:38;artykuł59;7,15;23;spożywcze;4364,28
8:38;artykuł63;8,83;23;spożywcze;4373,11
8:38;artykuł63;8,83;23;spożywcze;4381,94
8:38;artykuł30;15,68;5;dziecięce;4397,62
8:38;artykuł22;162,9;5;obuwie;4560,52
8:38;artykuł25;240,78;23;obuwie;4801,3
8:38;artykuł26;36,82;23;obuwie;4838,12
8:38;artykuł26;36,82;23;obuwie;4874,94
8:38;artykuł28;63,9;23;obuwie;4938,84
8:38;artykuł163;36,8;23;obuwie;4975,64
8:38;artykuł191;29;23;obuwie;5004,64
8:38;artykuł2;35,14;23;agd;5039,78
8:38;artykul3;78,9;23;agd;5118,68
8:38;artykuł252;59,62;23;agd;5178,3
8:38;artykuł173;19,75;23;agd;5198,05
8:38;artykuł117;17,17;8;prasa;5215,22
8:38;artykuł117;17,17;8;prasa;5232,39
8:52;artykuł40;50,81;23;odzież;5283,2
8:52;artykuł116;2,48;23;kosmetyki;5285,68
8:52;artykuł137;7,34;23;kosmetyki;5293,02
8:52;artykuł461;7,95;23;kosmetyki;5300,97
8:52;artykuł81;7,93;23;kosmetyki;5308,9
8:52;artykuł82;8,93;23;kosmetyki;5317,83
8:52;artykuł85;11,93;23;kosmetyki;5329,76
8:52;artykuł103;18,45;23;spożywcze;5348,21
8:52;artykuł46;1,69;5;spożywcze;5349,9
8:52;artykuł48;2,53;23;spożywcze;5352,43
8:52;artykuł50;3,37;5;spożywcze;5355,8
8:52;artykuł51;3,79;5;spożywcze;5359,59
8:52;artykuł54;5,05;23;spożywcze;5364,64
8:52;artykuł56;5,89;23;spożywcze;5370,53
8:52;artykuł56;-5,89;23;spożywcze;5364,64
8:52;artykuł63;8,83;23;spożywcze;5373,47
8:52;artykuł22;162,9;5;obuwie;5536,37
8:52;artykuł29;72,63;5;obuwie;5609
8:52;artykuł115;45,72;23;obuwie;5654,72
8:52;artykuł603;73,9;23;obuwie;5728,62
8:52;artykuł2;35,14;23;agd;5763,76
8:52;artykuł252;59,62;23;agd;5823,38
8:52;artykuł252;59,62;23;agd;5883
8:52;artykuł71;12,99;8;leki;5895,99
8:52;artykuł77;46,71;8;leki;5942,7
8:52;artykuł156;4,39;5;prasa;5947,09
8:52;artykuł514;6,71;8;prasa;5953,8
8:52;artykuł567;15,74;8;prasa;5969,54
9:07;artykuł35;45,81;23;odzież;6015,35
9:07;artykuł42;52,81;23;odzież;6068,16
9:07;artykuł116;2,48;23;kosmetyki;6070,64
9:07;artykuł162;23,45;23;kosmetyki;6094,09
9:07;artykuł172;4,67;23;kosmetyki;6098,76
9:07;artykuł461;7,95;23;kosmetyki;6106,71
9:07;artykuł461;7,95;23;kosmetyki;6114,66
9:07;artykuł602;0,73;23;kosmetyki;6115,39
9:07;artykuł84;10,93;23;kosmetyki;6126,32
9:07;artykuł85;11,93;23;kosmetyki;6138,25
9:07;artykuł102;12,89;5;spożywcze;6151,14
9:07;artykuł102;12,89;5;spożywcze;6164,03
9:07;artykuł102;12,89;5;spożywcze;6176,92
9:07;artykuł103;18,45;23;spożywcze;6195,37
9:07;artykuł103;18,45;23;spożywcze;6213,82
9:07;artykuł47;2,11;5;spożywcze;6215,93
9:07;artykuł49;2,95;23;spożywcze;6218,88
9:07;artykuł55;5,47;23;spożywcze;6224,35
9:07;artykuł60;7,57;23;spożywcze;6231,92
9:07;artykuł61;7,99;23;spożywcze;6239,91
9:07;artykuł62;8,41;23;spożywcze;6248,32
9:07;artykuł31;54,71;5;dziecięce;6303,03
9:07;artykuł31;54,71;5;dziecięce;6357,74
9:07;artykuł21;240;5;obuwie;6597,74
9:07;artykuł26;36,82;23;obuwie;6634,56
9:07;artykuł26;36,82;23;obuwie;6671,38
9:07;artykuł26;36,82;23;obuwie;6708,2
9:07;artykuł28;63,9;23;obuwie;6772,1
9:07;artykuł115;45,72;23;obuwie;6817,82
9:07;artykuł137;89,45;23;obuwie;6907,27
9:07;artykuł137;89,45;23;obuwie;6996,72
9:07;artykuł1;135,78;23;agd;7132,5
9:07;artykuł173;19,75;23;agd;7152,25
9:07;artykuł6;12,5;8;leki;7164,75
9:07;artykuł77;46,71;8;leki;7211,46
9:07;artykuł79;31,52;8;leki;7242,98
9:07;artykuł79;31,52;8;leki;7274,5
9:07;artykuł252;4,78;5;prasa;7279,28
9:07;artykuł113;49,2;8;prasa;7328,48
9:07;artykuł114;27,9;8;prasa;7356,38
9:07;artykuł178;13,74;8;prasa;7370,12
9:21;artykuł39;49,81;23;odzież;7419,93
9:21;artykuł36;46,81;23;odzież;7466,74
9:21;artykuł44;54,81;23;odzież;7521,55
9:21;artykuł43;53,81;23;odzież;7575,36
9:21;artykuł86;99,99;23;odzież;7675,35
9:21;artykuł86;99,99;23;odzież;7775,34
9:21;artykuł86;99,99;23;odzież;7875,33
9:21;artykuł116;2,48;23;kosmetyki;7877,81
9:21;artykuł262;25,8;23;kosmetyki;7903,61
9:21;artykuł558;27,53;23;kosmetyki;7931,14
9:21;artykuł562;7,82;23;kosmetyki;7938,96
9:21;artykuł566;27,94;23;kosmetyki;7966,9
9:21;artykuł81;7,93;23;kosmetyki;7974,83
9:21;artykuł102;12,89;5;spożywcze;7987,72
9:21;artykuł102;12,89;5;spożywcze;8000,61
9:21;artykuł102;12,89;5;spożywcze;8013,5
9:21;artykuł103;18,45;23;spożywcze;8031,95
9:21;artykuł46;1,69;5;spożywcze;8033,64
9:21;artykuł50;3,37;5;spożywcze;8037,01
9:21;artykuł51;3,79;5;spożywcze;8040,8
9:21;artykuł52;4,21;5;spożywcze;8045,01
9:21;artykuł53;4,63;23;spożywcze;8049,64
9:21;artykuł54;5,05;23;spożywcze;8054,69
9:21;artykuł56;5,89;23;spożywcze;8060,58
9:21;artykuł30;15,68;5;dziecięce;8076,26
9:21;artykuł31;54,71;5;dziecięce;8130,97
9:21;artykuł26;36,82;23;obuwie;8167,79
9:21;artykuł26;36,82;23;obuwie;8204,61
9:21;artykuł28;63,9;23;obuwie;8268,51
9:21;artykuł603;73,9;23;obuwie;8342,41
9:21;artykuł137;89,45;23;obuwie;8431,86
9:21;artykuł1;135,78;23;agd;8567,64
9:21;artykuł173;19,75;23;agd;8587,39
9:21;artykuł183;320,71;23;agd;8908,1
9:21;artykuł6;12,5;8;leki;8920,6
9:21;artykuł188;11;8;prasa;8931,6
9:21;artykuł563;9,51;8;prasa;8941,11
9:21;artykuł193;15,61;8;prasa;8956,72
9:21;artykuł114;27,9;8;prasa;8984,62
9:21;artykuł174;14,63;8;prasa;8999,25
9:36;artykuł37;47,81;23;odzież;9047,06
9:36;artykuł40;50,81;23;odzież;9097,87
9:36;artykuł116;2,48;23;kosmetyki;9100,35
9:36;artykuł137;7,34;23;kosmetyki;9107,69
9:36;artykuł137;7,34;23;kosmetyki;9115,03
9:36;artykuł176;61,75;23;kosmetyki;9176,78
9:36;artykuł558;27,53;23;kosmetyki;9204,31
9:36;artykuł602;0,73;23;kosmetyki;9205,04
9:36;artykuł81;7,93;23;kosmetyki;9212,97
9:36;artykuł82;8,93;23;kosmetyki;9221,9
9:36;artykuł103;18,45;23;spożywcze;9240,35
9:36;artykuł103;18,45;23;spożywcze;9258,8
9:36;artykuł46;1,69;5;spożywcze;9260,49
9:36;artykuł49;2,95;23;spożywcze;9263,44
9:36;artykuł50;3,37;5;spożywcze;9266,81
9:36;artykuł59;7,15;23;spożywcze;9273,96
9:36;artykuł59;7,15;23;spożywcze;9281,11
9:36;artykuł61;7,99;23;spożywcze;9289,1
9:36;artykuł32;69,35;5;dziecięce;9358,45
9:36;artykuł32;69,35;5;dziecięce;9427,8
9:36;artykuł24;52,72;23;obuwie;9480,52
9:36;artykuł24;52,72;23;obuwie;9533,24
9:36;artykuł28;63,9;23;obuwie;9597,14
9:36;artykuł29;72,63;5;obuwie;9669,77
9:36;artykuł251;153,84;23;obuwie;9823,61
9:36;artykuł603;73,9;23;obuwie;9897,51
9:36;artykuł175;57,81;23;obuwie;9955,32
9:36;artykuł1;135,78;23;agd;10091,1
9:36;artykuł4;512,67;23;agd;10603,77
9:36;artykuł115;25,89;23;agd;10629,66
9:36;artykuł252;59,62;23;agd;10689,28
9:36;artykuł183;320,71;23;agd;11009,99
9:36;artykuł7;25,9;8;leki;11035,89
9:36;artykuł72;22,22;8;leki;11058,11
9:36;artykuł73;45,67;8;leki;11103,78
9:36;artykuł150;62,9;5;prasa;11166,68
9:36;artykuł253;3,8;8;prasa;11170,48
9:36;artykuł563;9,51;8;prasa;11179,99
9:36;artykuł185;3,68;8;prasa;11183,67
9:36;artykuł166;4,72;8;prasa;11188,39
9:36;artykuł466;24,85;8;prasa;11213,24
9:50;artykuł41;51,81;23;odzież;11265,05
9:50;artykuł45;55,81;23;odzież;11320,86
