id pods¹dnego;  id czynu;  id sêdziego;  data rozp I instancji;  data wyroku I nst;  wyrok I inst
1001; 6; 2;  29.06.2025;  08.07.2025; 11
1010; 4; 6;  16.07.2025;  17.07.2025; 3
1015; 2; 3;  02.01.2025;  09.01.2025; 8
1021; 1; 1;  16.11.2025;  19.11.2025; 15
1028; 5; 1;  05.05.2025;  08.05.2025; 2
1033; 1; 1;  03.04.2025;  06.04.2025; 23
1037; 4; 3;  18.07.2025;  25.07.2025; 3
1039; 3; 2;  01.06.2025;  03.06.2025; 16
1044; 3; 6;  01.03.2025;  06.03.2025; 16
1048; 3; 2;  04.03.2025;  10.03.2025; 24
1053; 2; 4;  06.01.2025;  12.01.2025; 5
1059; 1; 4;  13.04.2025;  20.04.2025; 24
1063; 3; 3;  07.03.2025;  15.03.2025; 25
1064; 5; 2;  07.05.2025;  15.05.2025; 2
1071; 8; 3;  08.11.2025;  12.11.2025; 10
1072; 1; 5;  18.04.2025;  28.04.2025; 21
1074; 1; 3;  22.04.2025;  27.04.2025; 18
1081; 5; 4;  12.05.2025;  14.05.2025; 3
1083; 1; 2;  26.04.2025;  29.04.2025; 18
1086; 4; 2;  18.07.2025;  21.07.2025; 4
1089; 4; 3;  23.07.2025;  30.07.2025; 4
1091; 1; 3;  01.05.2025;  03.05.2025; 20
1096; 2; 5;  13.01.2025;  22.01.2025; 8
1101; 3; 2;  08.03.2025;  17.03.2025; 21
1106; 1; 3;  05.05.2025;  10.05.2025; 24
1107; 3; 3;  12.03.2025;  20.03.2025; 17
1110; 3; 2;  16.03.2025;  22.03.2025; 16
1111; 3; 4;  16.03.2025;  26.03.2025; 19
1117; 6; 4;  05.07.2025;  08.07.2025; 13
1118; 7; 1;  02.10.2025;  12.10.2025; 7
1122; 4; 3;  01.08.2025;  02.08.2025; 4
1124; 8; 3;  10.11.2025;  12.11.2025; 11
1125; 4; 5;  05.08.2025;  10.08.2025; 5
1129; 2; 3;  17.01.2025;  23.01.2025; 6
1136; 6; 5;  07.07.2025;  15.07.2025; 13
